Konsole,Spiel,Datum,Spielzeit,Erstes Mal,Sound,Grafik,Controls,Schwierigkeit,Spaß,Chat,Dennsen,Gesamt,Video Link,Genre
NES,Das Dschungelbuch ,16.02.2026,0h30m,JA,9,7,2,7,3,"4,10","5,11","4,93",https://youtu.be/JkL4KO7DWm0,Action
NES,"Ivan ""Ironman"" 
Stewart's Super Off Road",16.02.2026,0h30m,JA,2,3,5,2,5,"5,40","3,89","4,16",https://youtu.be/5ECWpHgCF30,Rennspiel
NES,Rescue: The Embassy Mission,16.02.2026,0h30m,JA,4,8,6,2,4,"5,90","5,11","5,25",https://youtu.be/-FxMRm6TMtM,Action
NES,Trojan,16.02.2026,0h37m,JA,2,5,8,6,8,"6,60","6,00","6,11",https://youtu.be/Jb-BfZF6SYg,Action
NES,Balloon Fight,17.02.2026,0h12m,NEIN,2,2,5,4,6,"4,00","4,11","4,09",https://youtu.be/zbafdWH-6Vg,Action
NES,"Double Dragon II 
The Revenge",17.02.2026,0h46m,NEIN,7,6,6,7,7,"6,90","6,67","6,71",https://youtu.be/_HgM7kPhvIo,Prügelspiel
NES,Lee Trevino's Fighting Golf,17.02.2026,0h16m,JA,3,5,3,4,3,"3,90","3,44","3,53",https://youtu.be/qgbeWWp2RVc,Sport
NES,MC Donaldland ,17.02.2026,0h25m,JA,8,2,4,3,5,"5,70","4,89","5,04",https://youtu.be/0g6kxzrC7R4,Action
NES,Metroid,17.02.2026,2h45m,NEIN,9,7,9,8,8,"8,10","8,11","8,11",https://youtu.be/Wnywtlt-xq4,Adventure
NES,Asterix,22.02.2026,0h25m,JA,5,7,7,3,7,"7,10","6,56","6,65",https://youtu.be/QcvaD9lGYLY,Jump & Run
NES,Robocop 3,22.02.2026,0h24m,JA,6,8,2,8,3,"2,90","4,67","4,35",https://youtu.be/foc1tEFVXs0,Action
NES,Castlevania,23.02.2026,1h20m,NEIN,10,6,5,6,8,"7,50","7,67","7,64",https://youtu.be/C9AFS9x_QXE,Action
NES,Bionic Commando,25.02.2026,0h22m,JA,6,6,7,6,5,"5,46","5,67","5,63",https://youtu.be/0Fij6S6HQrI,Action
NES,Captain Planet,25.02.2026,4h20m,JA,2,4,2,9,6,"5,03","4,22","4,37",https://youtu.be/4BaFDlyQbxI,Action
NES,Gunsmoke,25.02.2026,0h42m,JA,7,4,5,3,8,"6,98","6,56","6,63",https://youtu.be/9bp2vkr84iE,Shooter
NES,Roundball: 2 on 2 Challenge,25.02.2026,0h09m,JA,4,3,4,3,2,"2,59","2,89","2,83",https://youtu.be/MdM8EFugjhI,Sport
NES,Adventures in the Magic Kingdom,26.02.2026,0h19m,JA,4,6,5,4,3,"3,64","4,11","4,03",https://youtu.be/OLP71sRR4Ac,Action
NES,Ghosts N' Goblins,03.03.2026,0h18m,NEIN,7,3,2,10,5,"4,38","4,67","4,61",https://youtu.be/bt685jnkaIc,Action
NES,Total Recall,03.03.2026,1h05m,JA,5,5,8,5,7,"5,38","6,22","6,07",https://youtu.be/NkVZh_1bdJQ,Action
NES,World Champ,03.03.2026,0h19m,JA,6,6,7,2,7,"6,61","6,56","6,57",https://youtu.be/fWZnpmBXDvI,Sport
NES,Airwolf,04.03.2026,0h18m,JA,3,4,5,5,3,"3,63","3,44","3,48",https://youtu.be/qcOLTwXLyZ4,Shooter
NES,Bram Stockers Dracula,04.03.2026,0h25m,JA,8,5,6,5,7,"6,22","6,67","6,59",https://youtu.be/RcC7VzEmZ8A,Action
NES,Dragon's Lair,04.03.2026,0h20m,JA,4,8,2,9,4,"2,81","4,67","4,33",https://youtu.be/J8j1Ltd3HqU,Action
NES,Street Gangs ,04.03.2026,1h50m,JA,8,7,9,4,9,"8,22","8,33","8,31",https://youtu.be/RpTHYDPj77s,Prügelspiel
NES,Tecmo World Cup Soccer,08.03.2026,0h16m,JA,3,2,3,5,4,"4,35","3,22","3,43",https://youtu.be/QR6HuIAzdkY,Sport
NES,Turbo Racing ,08.03.2026,0h19m,JA,4,6,7,7,4,"6,09","4,78","5,02",https://youtu.be/1_hrYB2qv-c,Rennspiel
NES,Mario Bros.,10.03.2026,0h12m,NEIN,3,3,3,6,4,"5,88","3,44","3,89",https://youtu.be/nTBvY8DA8qQ,Action
NES,Skate or Die,11.03.2026,0h20m,JA,3,5,3,4,3,"3,55","3,44","3,46",https://youtu.be/5TDk5UjEjPU,Sport
NES,RoboWarrior,13.03.2026,0h48m,JA,6,7,7,7,7,"5,57","6,78","6,56",https://youtu.be/OO7uQlICOPg,Action
NES,Prince of Persia,15.03.2026,0h49m,NEIN,3,8,7,8,6,"5,55","5,89","5,83",https://youtu.be/PKXHT8jwccM,Jump & Run
NES,Super Mario Bros. 2,16.03.2026,0h26m,NEIN,9,7,10,6,9,"7,35","8,67","8,43",https://www.youtube.com/live/pftze2W1vTA?si=y1ShvBO8zPU7ZY6Y&t=17464,Jump & Run
NES,Pirates!,16.03.2026,0h19m,JA,2,4,5,5,5,"6,03","4,11","4,46",https://www.youtube.com/live/pftze2W1vTA?si=xWRnbimsFp7SJ96K&t=20498,Strategie
NES,Pinbot,19.03.2026,0h11m,JA,3,5,5,4,4,"5,12","4,11","4,29",https://www.youtube.com/live/yrr211L_MYA?si=UprBNWxW0yC5pwKP&t=17634,Sonstiges
NES,Super Spy Hunter,19.03.2026,0h52m,JA,7,9,8,9,7,"7,85","7,56","7,61",https://www.youtube.com/live/yrr211L_MYA?si=rmp_dRaRI3Yqy6u8&t=18640,Action
NES,P.O.W.: Prisoners of War,22.03.2026,0h18m,JA,8,8,6,7,5,"5,27","6,44","6,23",https://www.youtube.com/live/dw61uyWsgeY?si=msF9iJiG0gFs3ttt&t=16598,Action
